path,title,creator_or_rights_holder,source_url,original_license_or_terms,license_url_or_notes
satellites/ace/ACE-1024px.png,,,https://science.nasa.gov/wp-content/uploads/2023/05/ACE.png,,
satellites/ace/ACE-512px.png,,,https://science.nasa.gov/wp-content/uploads/2023/05/ACE.png,,
satellites/ace/ACE-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/ace/ACE.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/alos-2/alos-2-1024px.png,,,https://www.eoportal.org/api/cms/documents/163813/6584772/Pi7_Image_alos2.jpg/8454aed8-52c2-607e-1671-9bb1cc239a32?t=1660988939103,,
satellites/alos-2/alos-2-512px.png,,,https://www.eoportal.org/api/cms/documents/163813/6584772/Pi7_Image_alos2.jpg/8454aed8-52c2-607e-1671-9bb1cc239a32?t=1660988939103,,
satellites/alos-2/alos-2-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/alos-2/alos-2.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/alos-4/alos-4-1024px.png,,,https://www.satnavi.jaxa.jp/files/project/alos4/projectMember/img/paragraph_ph02.jpg,,
satellites/alos-4/alos-4-512px.png,,,https://www.satnavi.jaxa.jp/files/project/alos4/projectMember/img/paragraph_ph02.jpg,,
satellites/alos-4/alos-4-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/alos-4/alos-4.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/AMAZONIA-1/AMAZONIA-1-1024px.png,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2TWXhFf0W9upk07UQGqEfy6ONPZXDSQIOBA&s,,
satellites/AMAZONIA-1/AMAZONIA-1-512px.png,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2TWXhFf0W9upk07UQGqEfy6ONPZXDSQIOBA&s,,
satellites/AMAZONIA-1/AMAZONIA-1-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/AMAZONIA-1/AMAZONIA-1.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/AWS/AWS-1024px.png,,,https://tas-static.thalesaleniaspace.com/cms/public/styles/1920x1200/public/thales_images/arctic_weather_satellite_small_but_perfectly_formed-min.png.webp?VersionId=BcTlw0YTUyyiCgL7VKPpV1acEqv6poOk&itok=GvYR8z18,,
satellites/AWS/AWS-512px.png,,,https://tas-static.thalesaleniaspace.com/cms/public/styles/1920x1200/public/thales_images/arctic_weather_satellite_small_but_perfectly_formed-min.png.webp?VersionId=BcTlw0YTUyyiCgL7VKPpV1acEqv6poOk&itok=GvYR8z18,,
satellites/AWS/AWS-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/AWS/AWS.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cfosat/cfosat-1024px.png,,,https://www.eoportal.org/api/cms/documents/163813/6584772/bpc_cfosat-illustration.jpg/90ca18e5-d058-9e48-ce79-832a3f8b7c34?t=1668332406679,,
satellites/cfosat/cfosat-512px.png,,,https://www.eoportal.org/api/cms/documents/163813/6584772/bpc_cfosat-illustration.jpg/90ca18e5-d058-9e48-ce79-832a3f8b7c34?t=1668332406679,,
satellites/cfosat/cfosat-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cfosat/cfosat.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cloudsat/CloudSat-1024px.png,,,https://upload.wikimedia.org/wikipedia/commons/d/dc/CloudSat_spacecraft_model.png,,
satellites/cloudsat/CloudSat-512px.png,,,https://upload.wikimedia.org/wikipedia/commons/d/dc/CloudSat_spacecraft_model.png,,
satellites/cloudsat/CloudSat-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cloudsat/CloudSat.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cryosat-2/cryosat-2-1024px.png,,,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2009/09/cryosat3/10084092-2-eng-GB/CryoSat_pillars.jpg,,
satellites/cryosat-2/cryosat-2-512px.png,,,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2009/09/cryosat3/10084092-2-eng-GB/CryoSat_pillars.jpg,,
satellites/cryosat-2/cryosat-2-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cryosat-2/cryosat-2.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/CSG-2/CSG-2-1024px.png,,,https://www.nasaspaceflight.com/wp-content/uploads/2022/01/csg-render.jpg,,
satellites/CSG-2/CSG-2-512px.png,,,https://www.nasaspaceflight.com/wp-content/uploads/2022/01/csg-render.jpg,,
satellites/CSG-2/CSG-2-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/CSG-2/CSG-2.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/earthcare/earthcare-1024px.png,,,https://earth.esa.int/eogateway/documents/20142/1899021/EarthCARE-mission-1920x1080.jpg/1abe23cb-51db-c2c8-19d8-31c660ce0044?t=1615817618416,,
satellites/earthcare/earthcare-512px.png,,,https://earth.esa.int/eogateway/documents/20142/1899021/EarthCARE-mission-1920x1080.jpg/1abe23cb-51db-c2c8-19d8-31c660ce0044?t=1615817618416,,
satellites/earthcare/earthcare-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/earthcare/earthcare.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/earthdaily-constellation/earthdaily-constellation-1024px.png,,,https://www.eoportal.org/api/cms/documents/d/eoportal/earthdaily,,
satellites/earthdaily-constellation/earthdaily-constellation-512px.png,,,https://www.eoportal.org/api/cms/documents/d/eoportal/earthdaily,,
satellites/earthdaily-constellation/earthdaily-constellation-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/earthdaily-constellation/earthdaily-constellation.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/envisat/envisat-1024px.png,,,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2004/07/artist_s_impression_of_envisat/9613382-3-eng-GB/Artist_s_impression_of_Envisat_article.jpg,,
satellites/envisat/envisat-512px.png,,,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2004/07/artist_s_impression_of_envisat/9613382-3-eng-GB/Artist_s_impression_of_Envisat_article.jpg,,
satellites/envisat/envisat-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/envisat/envisat.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/ePOPonCassiope/ePOPonCassiope-1024px.png,,,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2018/02/cassiope_carries_e-pop/17387505-1-eng-GB/Cassiope_carries_e-POP.jpg,,
satellites/ePOPonCassiope/ePOPonCassiope-512px.png,,,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2018/02/cassiope_carries_e-pop/17387505-1-eng-GB/Cassiope_carries_e-POP.jpg,,
satellites/ePOPonCassiope/ePOPonCassiope-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/ePOPonCassiope/ePOPonCassiope.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/FY-1/FY-1-1024px.png,,,https://img.nsmc.org.cn/PORTAL/NSMC/PIC/GALLERY/FY1A/FY-1.jpg,,
satellites/FY-1/FY-1-512px.png,,,https://img.nsmc.org.cn/PORTAL/NSMC/PIC/GALLERY/FY1A/FY-1.jpg,,
satellites/FY-1/FY-1-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/FY-1/FY-1.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/goes-16/goes-16-1024px.png,,,https://science.nasa.gov/wp-content/uploads/2023/10/GOES_R_3-sm.png?w=300,,
satellites/goes-16/goes-16-512px.png,,,https://science.nasa.gov/wp-content/uploads/2023/10/GOES_R_3-sm.png?w=300,,
satellites/goes-16/goes-16-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/goes-16/goes-16.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/goes-19/goes-19-1024px.png,,,https://en.wikipedia.org/wiki/GOES-19#/media/File:GOES-U_night_(53390148447).png,,
satellites/goes-19/goes-19-512px.png,,,https://en.wikipedia.org/wiki/GOES-19#/media/File:GOES-U_night_(53390148447).png,,
satellites/goes-19/GOES-19-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/goes-19/goes-19.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/gosat-gw/gosat-gw-1024px.png,,,https://admin.eoportal.org/documents/163813/6853891/image1.png/3fdf8326-6693-f8d0-e472-3e5c47111290?t=1685080953755,,
satellites/gosat-gw/gosat-gw-512px.png,,,https://admin.eoportal.org/documents/163813/6853891/image1.png/3fdf8326-6693-f8d0-e472-3e5c47111290?t=1685080953755,,
satellites/gosat-gw/gosat-gw-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/gosat-gw/gosat-gw.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/jason-1/Jason-1-1024px.png,,,https://upload.wikimedia.org/wikipedia/commons/5/57/Jason-1.jpg,,
satellites/jason-1/Jason-1-512px.png,,,https://upload.wikimedia.org/wikipedia/commons/5/57/Jason-1.jpg,,
satellites/jason-1/Jason-1-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/jason-1/Jason-1.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/jason-2/OSTM-Jason-2-1024px.png,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/OSTM_Jason_2_spacecraft_model.png/1200px-OSTM_Jason_2_spacecraft_model.png,,
satellites/jason-2/OSTM-Jason-2-512px.png,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/OSTM_Jason_2_spacecraft_model.png/1200px-OSTM_Jason_2_spacecraft_model.png,,
satellites/jason-2/OSTM-Jason-2-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/jason-2/OSTM-Jason-2.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/jason-3/jason-3-1024px.png,,,https://science.nasa.gov/wp-content/uploads/2023/10/Jason3-sm.png?w=300,,
satellites/jason-3/jason-3-1024px.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/jason-3/jason-3-512px.png,,,https://science.nasa.gov/wp-content/uploads/2023/10/Jason3-sm.png?w=300,,
satellites/jason-3/jason-3-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/jpss-1/JPSS-1-1024px.png,,,https://science.nasa.gov/wp-content/uploads/2023/10/JPSS-sm.png?w=300,,
satellites/jpss-1/JPSS-1-512px.png,,,https://science.nasa.gov/wp-content/uploads/2023/10/JPSS-sm.png?w=300,,
satellites/jpss-1/JPSS-1-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/jpss-1/JPSS-1.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
